steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
16000	8	1386.02184176445	0.3333333333333333	0.0	0.5773502691896258	1.0	0.0	5.2293386	0.04708437679335475	16000	2748	16000
30000	15	2528.3939740657806	0.3333333333333333	0.0	0.5773502691896258	1.0	0.0	4.467128	0.023160440418869256	30000	6248	30000
46000	23	3892.4363470077515	0.6666666666666666	0.0	1.1547005383792517	2.0	0.0	4.00122	0.009312930996529759	46000	10248	46000
60000	30	5156.77197098732	0.0	0.0	0.0	0.0	0.0	3.5815728	0.006163264331407845	60000	13748	60000
76000	38	6563.119116306305	0.0	0.0	0.0	0.0	0.0	3.0222497	0.0031456751842051742	76000	17748	76000
90000	45	7703.740683078766	0.6666666666666666	0.0	1.1547005383792517	2.0	0.0	2.7274456	0.0026444416353479027	90000	21248	90000
106000	53	9058.653163433075	0.0	0.0	0.0	0.0	0.0	2.2642355	0.001360831486817915	106000	25248	106000
120000	60	10390.117503404617	0.0	0.0	0.0	0.0	0.0	2.0620444	0.0012690641733934171	120000	28748	120000
136000	68	11825.063585996628	1.6666666666666667	0.0	2.8867513459481287	5.0	0.0	1.7094538	0.0010066455497872084	136000	32748	136000
150000	75	13217.281669139862	1.3333333333333333	1.0	1.5275252316519468	3.0	0.0	1.5495641	0.0009143978031352163	150000	36248	150000
166000	83	14796.626125574112	1.6666666666666667	2.0	1.5275252316519468	3.0	0.0	1.2935292	0.0010844286615611055	166000	40248	166000
180000	90	16194.263127565384	0.0	0.0	0.0	0.0	0.0	1.1839559	0.0010993276855151635	180000	43748	180000
196000	98	17743.84432530403	2.0	2.0	2.0	4.0	0.0	0.9842854	0.0012151049906970002	196000	47748	196000
210000	105	19194.196729660034	0.3333333333333333	0.0	0.5773502691896258	1.0	0.0	0.91581774	0.0023166151117766276	210000	51248	210000
226000	113	20859.524077415466	3.0	4.0	2.6457513110645907	5.0	0.0	0.7878757	0.002923790515342262	226000	55248	226000
240000	120	22344.79379940033	5.666666666666667	4.0	4.725815626252608	11.0	2.0	0.76053286	0.003725653145520482	240000	58748	240000
256000	128	24057.676025629044	7.333333333333333	7.0	2.516611478423583	10.0	5.0	0.7091008	0.004644630779512227	256000	62748	256000
270000	135	25537.557332515717	9.0	12.0	7.0	14.0	1.0	0.71507376	0.005664798149955459	270000	66248	270000
286000	143	27326.35896372795	7.666666666666667	8.0	3.5118845842842465	11.0	4.0	0.66719675	0.0071839844167698175	286000	70248	286000
300000	150	28865.7803542614	10.666666666666666	13.0	4.041451884327381	13.0	6.0	0.6740006	0.006875509723322466	300000	73748	300000
316000	158	30573.858190774918	15.666666666666666	14.0	2.8867513459481287	19.0	14.0	0.68567723	0.008440406699664891	316000	77748	300000
330000	165	32127.61403465271	4.666666666666667	5.0	1.5275252316519465	6.0	3.0	0.69648266	0.010984234758652747	330000	81248	300000
346000	173	33819.20082950592	17.0	18.0	6.557438524302	23.0	10.0	0.74597865	0.011798725358676165	346000	85248	300000
361128	181	35495.32467532158	13.666666666666666	10.0	8.144527815247079	23.0	8.0	0.7771271	0.012517120749689638	361128	89030	300000
375128	188	37069.78056406975	10.333333333333334	7.0	5.773502691896257	17.0	7.0	0.7591046	0.012283530186396092	375128	92530	300000
391128	196	38821.10993432999	11.0	10.0	9.539392014169456	21.0	2.0	0.7852665	0.01394958737771958	391128	96530	300000
405128	203	40366.65225505829	16.0	14.0	7.211102550927978	24.0	10.0	0.81232643	0.016192505159415303	405128	100030	300000
421128	211	42113.039672613144	10.666666666666666	10.0	2.0816659994661326	13.0	9.0	0.90154034	0.020418018936179578	421128	104030	300000
435128	218	43711.515545368195	10.333333333333334	12.0	4.725815626252608	14.0	5.0	0.9324165	0.019887269595637917	435128	107530	300000
451128	226	45446.08774638176	17.333333333333332	16.0	6.110100926607786	24.0	12.0	0.9142101	0.01978136327583343	451128	111530	300000
465128	233	46934.62162923813	14.0	15.0	4.58257569495584	18.0	9.0	0.9893228	0.020335481339134275	465128	115030	300000
481128	241	48668.60363316536	21.0	20.0	2.6457513110645907	24.0	19.0	1.0235435	0.024143231892958285	481128	119030	300000
495128	248	50274.87604475021	18.666666666666668	19.0	0.5773502691896257	19.0	18.0	1.0150654	0.022052170606330038	495128	122530	300000
511128	256	51979.23277592659	21.333333333333332	21.0	2.5166114784235836	24.0	19.0	1.0268894	0.019943626914173365	511128	126530	300000
525128	263	53445.47472667694	10.666666666666666	10.0	6.027713773341708	17.0	5.0	1.0375032	0.02031576383858919	525128	130030	300000
541128	271	55153.74078965187	9.666666666666666	10.0	2.516611478423583	12.0	7.0	1.0520371	0.021009281314909457	541128	134030	300000
555128	278	56647.63177418709	13.0	11.0	5.291502622129181	19.0	9.0	1.1029942	0.024227786902338268	555128	137530	300000
571128	286	58333.56769514084	15.0	11.0	8.717797887081348	25.0	9.0	1.148606	0.02342424226924777	571128	141530	300000
585128	293	59820.0060904026	13.0	8.0	9.539392014169456	24.0	7.0	1.100482	0.02350392016582191	585128	145030	300000
601128	301	61485.959470272064	7.666666666666667	8.0	0.5773502691896257	8.0	7.0	1.1600481	0.021821079743094742	601128	149030	300000
615128	308	63132.970818042755	19.666666666666668	15.0	9.865765724632496	31.0	13.0	1.1214751	0.02174558530561626	615128	152530	300000
631128	316	64827.35953617096	14.333333333333334	13.0	3.214550253664318	18.0	12.0	1.114766	0.024653305881656706	631128	156530	300000
645128	323	66445.17719244957	12.333333333333334	10.0	5.8594652770823155	19.0	8.0	1.082314	0.023814604291692375	645128	160030	300000
661128	331	68117.9519443512	23.666666666666668	21.0	8.32666399786453	33.0	17.0	1.0974729	0.025479072453454137	661128	164030	300000
675128	338	69649.90691661835	14.333333333333334	12.0	4.932882862316248	20.0	11.0	1.1192153	0.024529157606884837	675128	167530	300000
691128	346	71323.97170090675	9.666666666666666	9.0	5.033222956847166	15.0	5.0	1.0890576	0.02567109185270965	691128	171530	300000
705128	353	72934.04860281944	15.0	10.0	10.44030650891055	27.0	8.0	1.103309	0.023864691122435035	705128	175030	300000
721128	361	74685.42975735664	16.333333333333332	15.0	3.2145502536643185	20.0	14.0	1.1272566	0.026186351031064987	721128	179030	300000
735128	368	76216.9654083252	10.666666666666666	10.0	1.1547005383792515	12.0	10.0	1.1256381	0.022894257428124547	735128	182530	300000
750599	376	77947.1090605259	12.0	14.0	9.16515138991168	20.0	2.0	1.102096	0.0205697062285617	750599	186397	300000
766599	384	79710.64405798912	6.666666666666667	6.0	7.023769168568493	14.0	0.0	1.0491967	0.022609293861314654	766599	190397	300000
780599	391	81276.92626905441	15.0	17.0	6.244997998398398	20.0	8.0	1.045976	0.021808036877773704	780599	193897	300000
796599	399	82964.04191613197	6.0	5.0	3.605551275463989	10.0	3.0	1.0647285	0.02227226273622364	796599	197897	300000
810599	406	84536.42549347878	8.0	8.0	7.0	15.0	1.0	1.1075	0.02290350289084017	810599	201397	300000
826599	414	86234.28368330002	10.666666666666666	11.0	1.5275252316519468	12.0	9.0	1.090938	0.020297654788009822	826599	205397	300000
840599	421	87815.32417201996	14.666666666666666	15.0	0.5773502691896257	15.0	14.0	1.0912168	0.022271393272094427	840599	208897	300000
856599	429	89517.48070168495	11.666666666666666	14.0	4.041451884327381	14.0	7.0	1.0810747	0.021363892271183432	856599	212897	300000
870599	436	91096.80890488625	13.333333333333334	15.0	6.658328118479393	19.0	6.0	1.0265762	0.021098813265562056	870599	216397	300000
886599	444	92811.3712489605	16.666666666666668	14.0	7.371114795831994	25.0	11.0	1.0393424	0.02111006111372262	886599	220397	300000
900599	451	94322.93052101135	13.0	10.0	7.0	21.0	8.0	1.0038841	0.020944287800230086	900599	223897	300000
916599	459	96038.41759061813	14.333333333333334	13.0	4.163331998932265	19.0	11.0	0.9724132	0.018562220339663326	916599	227897	300000
930599	466	97569.77550005913	13.666666666666666	12.0	3.7859388972001824	18.0	11.0	1.0340495	0.024070568522438406	930599	231397	300000
946599	474	99315.53424048424	16.0	15.0	13.527749258468683	30.0	3.0	0.989756	0.021193115301430226	946599	235397	300000
960599	481	100800.58554005623	4.333333333333333	3.0	2.309401076758503	7.0	3.0	1.0193143	0.026039317892864348	960599	238897	300000
976599	489	102547.02350997925	10.333333333333334	8.0	5.8594652770823155	17.0	6.0	1.058744	0.02363154001533985	976599	242897	300000
990599	496	104098.25607299805	10.333333333333334	11.0	4.041451884327381	14.0	6.0	1.0014453	0.022749678613618016	990599	246397	300000
1006599	504	105797.18554520607	20.333333333333332	12.0	15.307950004273378	38.0	11.0	1.0115191	0.023389164339751006	1006599	250397	300000
1020599	511	107338.83165335655	15.666666666666666	13.0	8.326663997864532	25.0	9.0	1.0385383	0.022328130062669517	1020599	253897	300000
1036599	519	108986.51237678528	12.0	10.0	4.358898943540674	17.0	9.0	1.0438397	0.02447937867604196	1036599	257897	300000
1050599	526	110491.79232311249	18.666666666666668	21.0	5.859465277082315	23.0	12.0	1.0353599	0.023994681304320694	1050599	261397	300000
1066599	534	112213.91932702065	7.666666666666667	9.0	3.2145502536643185	10.0	4.0	1.0385821	0.024295252338051795	1066599	265397	300000
1080599	541	113806.19663929939	7.666666666666667	8.0	3.5118845842842465	11.0	4.0	0.96498436	0.02095048754941672	1080599	268897	300000
