steps	episodes	elapsed	mean	median	stdev	max	min	average_loss_1step	average_loss_nstep	average_loss_supervised	average_loss	n_updates
50856	27	7506.306053161621	25.333333333333332	35.0	18.502252115170556	37.0	4.0	0.018628385288175196	0.038523605279624465	0.003514570236795978	0.060666560269892214	12714
100286	52	14968.236846923828	29.0	30.0	3.605551275463989	32.0	25.0	0.015420938900206238	0.03686481934972107	0.0009870104150621728	0.05327276848256588	25071
150286	77	22503.017387390137	48.0	40.0	13.856406460551018	64.0	40.0	0.01579560559708625	0.03668749519623816	0.0019106607141840114	0.05439376156777143	37571
200299	103	30152.273910284042	39.0	40.0	19.519221295943137	58.0	19.0	0.015052095504943281	0.034544299198314546	0.0021711589133087726	0.05176755344495177	50074
250018	129	37977.82863736153	29.333333333333332	33.0	12.897028081435401	40.0	15.0	0.015474534176755697	0.03673431029543281	0.002876787931770508	0.055085632298141715	62504
300496	155	45883.352687597275	42.666666666666664	43.0	2.516611478423583	45.0	40.0	0.01438875290332362	0.038589745266363024	0.0020891513362192526	0.055067649520933626	75124
351304	181	53745.70621728897	20.333333333333332	18.0	21.594752448994022	43.0	0.0	0.018161581193562596	0.04355607195757329	0.004051318147473921	0.06576897142454982	87826
400582	206	61697.770228624344	35.0	33.0	4.358898943540674	40.0	32.0	0.015563160330057144	0.03852452184073627	0.0013451421834415988	0.055432824455201625	100145
450358	232	69670.01795077324	43.333333333333336	44.0	11.015141094572204	54.0	32.0	0.014867215841077268	0.0389615074545145	0.001407325029894082	0.05523604830726981	112589
500989	259	77966.69192194939	42.666666666666664	43.0	11.50362261782493	54.0	31.0	0.015899105470161885	0.03843176827766001	0.0013917306918881421	0.05572260465472936	125247
